,accuracy,precision,precision_w,recall,f1,f1_w,conf,n_comps
actual,1.0,1.0,1.0,1.0,1.0,1.0,"[[616   0   0]
 [  0 633   0]
 [  0   0 465]]",
Naive,0.3693115519253209,0.7897705173084403,0.7670794704601681,0.3333333333333333,0.1798040051129101,0.1992110885119115,"[[  0 616   0]
 [  0 633   0]
 [  0 465   0]]",0.0
All,0.6458576429404901,0.6163755110410152,0.626183797354299,0.613770973543944,0.599646595101606,0.6225876091620396,"[[459  89  68]
 [ 60 521  52]
 [201 137 127]]",86.0
PLS,0.6242707117852976,0.5997424233278381,0.6052513711698819,0.5800748657651272,0.5339002350794964,0.5668827194769778,"[[476 115  25]
 [ 72 543  18]
 [233 181  51]]",9.0
rel PLS,0.6161026837806302,0.5793147055801225,0.5877523423486241,0.5728796140583329,0.529376212774527,0.561745932103999,"[[462 120  34]
 [ 71 541  21]
 [232 180  53]]",8.0
PLS DA,0.6301050175029171,0.5974573422638891,0.6072354694475802,0.5954559242588595,0.5759678014850999,0.6008603984616442,"[[452 101  63]
 [ 66 522  45]
 [210 149 106]]",20.0
LDA,0.6476079346557759,0.624306435341102,0.6320010483970367,0.6164196069944426,0.6037021547364448,0.6253431889417053,"[[454  97  65]
 [ 64 523  46]
 [201 131 133]]",2.0
PCA,0.6400233372228705,0.6120753925316991,0.6207157055291309,0.6070134149938461,0.5909756760616499,0.6141978954717834,"[[448 100  68]
 [ 62 529  42]
 [197 148 120]]",42.0
PILOT,0.648191365227538,0.6204751291256619,0.6293961217588,0.6158628127210912,0.601384809892561,0.6241798354123539,"[[458  89  69]
 [ 62 526  45]
 [190 148 127]]",50.0
